,count,mean,std,min,1%,5%,50%,95%,99%,max
Band_56,215604.0,0.21203628597197663,0.1410041748151509,-0.0023000000510364,0.0822999998927116,0.100500002503395,0.179399996995926,0.51419997215271,0.8751909738779067,1.4974000453949
Band_57,215604.0,0.23303670755326586,0.13573656274055154,-0.0027999999001622,0.0986000001430512,0.121200002729893,0.201299995183945,0.514900028705597,0.869000017642975,1.48479998111725
Band_58,215604.0,0.2492533728435216,0.13197923650553542,-0.002600000007078,0.109700001776218,0.135499998927116,0.217899993062019,0.5118850052356697,0.860499978065491,1.4753999710083
Band_59,215604.0,0.26195276200959594,0.1302640368092317,-0.0027000000700354,0.117600001394749,0.145400002598763,0.230599999427795,0.513499975204468,0.85589998960495,1.46150004863739
Band_60,215604.0,0.26896860168909037,0.12806140515348624,-0.0028999999631196,0.1216000020504,0.151099994778633,0.238399997353554,0.5149849921464895,0.846599996089935,1.44879996776581
Band_61,215604.0,0.27732405610086264,0.1276624676702613,-0.0007999999797903,0.124300003051758,0.155699998140335,0.24779999256134,0.5236849963664988,0.8470970189571382,1.44490003585815
Band_62,215604.0,0.2627251242926584,0.12351686281327778,-0.0027999999001622,0.120200000703335,0.150800004601479,0.231700003147125,0.516099989414215,0.8111970221996311,1.38740003108978
Band_63,215604.0,0.27774702833923454,0.12457758549591139,-0.0012000000569969,0.125799998641014,0.156800001859665,0.248600006103516,0.530200004577637,0.816799998283386,1.39230000972748
Band_64,215604.0,0.2817522420724679,0.12329405723538897,-0.0020000000949949,0.128099992871284,0.159799993038178,0.2533999979496,0.531199991703033,0.8116969877481465,1.38139998912811
Band_65,215604.0,0.2825895243066359,0.12164368045868995,-0.0005000000237487,0.128499999642372,0.160500004887581,0.255100011825562,0.529600024223328,0.801500022411346,1.36510002613068
Band_66,215604.0,0.28440982815916416,0.1210734317212651,-0.0012000000569969,0.129399999976158,0.162000000476837,0.257499992847443,0.531300008296967,0.796800017356873,1.35189998149872
Band_67,215604.0,0.28556520332941027,0.12046933366622305,-0.0006999999750405,0.129800006747246,0.162699997425079,0.259099990129471,0.531199991703033,0.793099999427795,1.34350001811981
Band_68,215604.0,0.2888990639941418,0.12039988113476466,-0.0010000000474974,0.130700007081032,0.164299994707108,0.263099998235703,0.533200025558472,0.792900025844574,1.34159994125366
Band_69,215604.0,0.2895584261176213,0.12084607336355498,-0.00089999998454,0.131899997591972,0.165700003504753,0.262600004673004,0.538399994373322,0.794300019741058,1.34329998493195
Band_70,215604.0,0.29141575019608723,0.12085090733355537,-0.0012000000569969,0.1320029993355272,0.166199997067451,0.264800012111664,0.540000021457672,0.792500019073486,1.34010004997253
Band_71,215604.0,0.2917576167491861,0.11994834941897047,-0.0010000000474974,0.133200004696846,0.16779999434948,0.265399992465973,0.5382000207901,0.792100012302399,1.34189999103546
Band_72,215604.0,0.29370448322795595,0.11960805047705372,-0.0007999999797903,0.132699996232986,0.167199999094009,0.268400013446808,0.538299977779388,0.783900022506714,1.32840001583099
Band_73,215604.0,0.29360096656897167,0.11819987400141868,9.99999974737875e-05,0.133599996566772,0.168200001120567,0.268500000238419,0.536499977111816,0.778199970722199,1.31669998168945
Band_74,215604.0,0.2943869046654324,0.11679328853564044,-0.0010000000474974,0.133900001645088,0.168699994683266,0.269899994134903,0.535300016403198,0.766700029373169,1.29949998855591
Band_75,215604.0,0.29644488461843144,0.11488114936706369,-0.0003000000142492,0.135199993848801,0.170000001788139,0.273200005292892,0.533800005912781,0.75330001115799,1.27760004997253
Band_76,215604.0,0.2956431879418618,0.1106035581884787,-0.0006999999750405,0.135600000619888,0.171299993991852,0.274399995803833,0.52319997549057,0.72979998588562,1.2438999414444
Band_77,215604.0,0.2985479605902,0.1099288037771125,-9.99999974737875e-05,0.1371029962599282,0.172199994325638,0.277900010347366,0.526199996471405,0.7169970071315771,1.21410000324249
Band_78,215604.0,0.2948262611249672,0.10587304993009938,0.0005000000237487,0.136299997568131,0.171800002455711,0.275499999523163,0.513599991798401,0.6933970248699192,1.18069994449615
Band_79,215604.0,0.29696902190897817,0.10418150967587968,0.0003999999898951,0.137500002980232,0.174400001764297,0.278299987316132,0.512899994850159,0.67849999666214,1.14730000495911
Band_80,215604.0,0.29856584879988857,0.1022737246144173,0.0013666667509824,0.13936765700578657,0.176666662096977,0.280533313751221,0.5104900181293476,0.6693969780206684,1.13963329792023
Band_81,215604.0,0.2970208707201361,0.10061484382413684,0.0011333333095535,0.1381009982526307,0.175733342766762,0.279700011014938,0.50433337688446,0.65883332490921,1.12203335762024
Band_82,215604.0,0.29671159425073795,0.10004160455000859,0.0011333333095535,0.138166666030884,0.175733342766762,0.279666662216187,0.502499997615814,0.655066668987274,1.11673331260681
Band_83,215604.0,0.29376490140092393,0.09820148091825172,0.0008666667272336,0.137033343315125,0.174333333969116,0.277366667985916,0.495033353567123,0.645333349704742,1.10273325443268
Band_84,215604.0,0.29912989555322206,0.09878510896094365,0.0017333334544673,0.140799999237061,0.178333342075348,0.282766669988632,0.5013616770505899,0.64983332157135,1.11440002918243
Band_85,215604.0,0.2990950794501071,0.0974498018132043,0.0015333333285525,0.140300005674362,0.1785716645419597,0.283699989318848,0.496733337640762,0.6439989942312242,1.09846675395966
Band_86,215604.0,0.30244812202210525,0.09656099208437945,0.001700000022538,0.142766669392586,0.181199997663498,0.287733316421509,0.497966647148132,0.6364656245708464,1.08990001678467
Band_87,215604.0,0.29956067991397933,0.09455746784689183,0.0006666666595265,0.13996766671538372,0.179299995303154,0.285733312368393,0.49033334851265,0.6206323623657228,1.05099999904633
Band_88,215604.0,0.2996338796869524,0.09278020617336868,0.0008666667272336,0.141233339905739,0.180299997329712,0.286300003528595,0.48759999871254,0.605733335018158,1.02730000019073
Band_89,215604.0,0.29951051729470085,0.09205612735537731,0.0003666666743811,0.139366656541824,0.179800003767014,0.286766678094864,0.485466659069061,0.598399996757507,0.997200012207031
Band_90,215604.0,0.2984579825805923,0.08896945499191211,0.0012000000569969,0.14206765800714458,0.180933341383934,0.286866664886475,0.4762616589665402,0.5803323507308958,0.977333307266235
Band_91,215604.0,0.2923493665662251,0.08698160050012152,0.0001999999949475,0.137999996542931,0.176699995994568,0.281399995088577,0.4649950012564654,0.5657656347751615,0.952600002288818
Band_92,215604.0,0.2866660631378147,0.0838193889805195,0.0015000000130385,0.136600002646446,0.17399999499321,0.276633322238922,0.4509283348917954,0.5467990159988408,0.932099997997284
Band_93,215604.0,0.28529885087398127,0.08260670801097211,0.0015333333285525,0.13626666367054,0.17339999973774,0.275833338499069,0.4460949942469586,0.53846663236618,0.921400010585785
Band_94,215604.0,0.28350964717039884,0.08039562900365332,0.0049000000581145,0.137333333492279,0.173466667532921,0.274766683578491,0.4383616581559172,0.5247656261920925,0.899999976158142
Band_95,215604.0,0.2883833993694586,0.08042494603367957,0.004266666714102,0.14093433484435075,0.177166655659676,0.280099987983704,0.442299991846085,0.523699998855591,0.902266681194305
Band_96,215604.0,0.28332270324487796,0.07851481763246111,0.0077999997884035,0.138133332133293,0.174266666173935,0.275433331727982,0.432866662740707,0.5112656491994861,0.873433291912079
Band_97,215604.0,0.28824375058893403,0.07898961130675536,0.0058666667900979,0.140699997544289,0.177566662430763,0.280666679143906,0.437533348798752,0.512866675853729,0.872933328151703
Band_98,215604.0,0.2829387028839934,0.07698519481585846,0.0107000004500151,0.13823433384299275,0.174733340740204,0.275633335113525,0.427266657352448,0.500899970531464,0.84143328666687
Band_99,215604.0,0.2828406000469893,0.07602787248223453,0.0105333337560296,0.138233333826065,0.175300002098084,0.275866687297821,0.423166662454605,0.496499985456467,0.817333340644836
Band_100,215604.0,0.2832322554559309,0.07582564035339757,0.010499999858439,0.138133332133293,0.1756050072610377,0.276433318853378,0.421633362770081,0.4955323466658595,0.805333375930786
Band_101,215604.0,0.2894921205436469,0.07702798732608505,0.0059000002220273,0.141100004315376,0.179399996995926,0.283033311367035,0.426600009202957,0.5072656410932541,0.79833334684372
Band_102,215604.0,0.296471228260558,0.07903928242952228,0.0027999999001622,0.143199995160103,0.18299999833107,0.290300011634827,0.434300005435944,0.523400008678436,0.792100012302399
Band_103,215604.0,0.29935665244617327,0.07978834352222576,0.0031999999191612,0.143800005316734,0.18469999730587,0.29339998960495,0.436300009489059,0.5321969801187514,0.779399991035461
